COD,Deptos,Municipio,Poblaciòn Menor de 1 año,POLIO,% VOP,DPT,% DPT,BCG,%BCG,HB,% HB,HiB,%Hib,Poblaciòn de 1 año,T.V.,%Triple Viral,F.A.,%F.A.,Rotavirus 2da Dosis,Neumococo 3ra Dosis   1er. Año,Neumococo 2da Dosis     (12-23 meses),Neumococo Dosis Unica (24-35 meses),TOTALES,,,
76823,VALLE,Toro, 299   ,226,75.6,244,81.6,116,38.8,244,81.6,244,81.6, 296 ,228,77.0,228,77.0,171,22,13,1," 1,737 ",,,
76828,VALLE,Trujillo, 372   ,255,68.5,268,72.0,142,38.2,268,72.0,268,72.0, 366 ,282,77.0,285,77.9,141,8,11,1," 1,929 ",,,
76834,VALLE,Tuluá," 3,194   ",2318,72.6,2273,71.2,3051,95.5,2277,71.3,2273,71.2," 3,165 ",2832,89.5,2684,84.8,1215,134,101,95," 19,253 ",,,
76845,VALLE,Ulloa, 103   ,92,89.3,92,89.3,61,59.2,92,89.3,92,89.3, 101 ,91,90.1,99,98.0,42,7,15,0, 683 ,,,
76863,VALLE,Versalles, 130   ,112,86.2,112,86.2,51,39.2,112,86.2,112,86.2, 129 ,134,103.9,142,110.1,66,5,8,0, 854 ,,,
76869,VALLE,Vijes, 175   ,156,89.1,175,100.0,51,29.1,175,100.0,175,100.0, 172 ,169,98.3,169,98.3,112,6,3,0," 1,191 ",,,
76890,VALLE,Yotoco, 254   ,225,88.6,225,88.6,163,64.2,225,88.6,225,88.6, 250 ,250,100.0,250,100.0,137,0,8,0," 1,708 ",,,
76892,VALLE,Yumbo," 1,730   ",1623,93.8,1623,93.8,455,26.3,1623,93.8,1623,93.8," 1,714 ",1657,96.7,1651,96.3,955,55,2,0," 11,267 ",,,
76895,VALLE,Zarzal, 728   ,650,89.3,650,89.3,850,116.8,650,89.3,650,89.3, 721 ,692,96.0,692,96.0,482,25,10,14," 5,365 ",,,
81001,ARAUCA,Arauca," 2,208   ",1592,72.1,1592,72.1,1576,71.4,1592,72.1,1592,72.1," 2,254 ",1625,72.1,1626,72.1,1096,29,145,32," 12,497 ",,,
81065,ARAUCA,Arauquita," 1,059   ",729,68.8,726,68.6,719,67.9,726,68.6,726,68.6," 1,069 ",757,70.8,754,70.5,276,15,189,153," 5,770 ",,,
81220,ARAUCA,Cravo Norte, 97   ,96,99.0,96,99.0,75,77.3,96,99.0,96,99.0, 99 ,97,98.0,96,97.0,54,1,2,3, 712 ,,,
81300,ARAUCA,Fortul, 641   ,476,74.3,476,74.3,377,58.8,477,74.4,476,74.3, 645 ,472,73.2,472,73.2,312,3,50,74," 3,665 ",,,
81591,ARAUCA,Puerto Rondón, 105   ,101,96.2,101,96.2,70,66.7,123,117.1,83,79.0, 103 ,108,104.9,106,102.9,62,1,17,14, 786 ,,,
81736,ARAUCA,Saravena," 1,149   ",945,82.2,945,82.2,811,70.6,946,82.3,945,82.2," 1,163 ",1030,88.6,1030,88.6,694,12,32,144," 7,534 ",,,
81794,ARAUCA,Tame," 1,368   ",967,70.7,967,70.7,1078,78.8,967,70.7,965,70.5," 1,375 ",1099,79.9,1097,79.8,620,1,1,51," 7,813 ",,,
85001,CASANARE,Yopal," 2,505   ",2595,103.6,2598,103.7,2742,109.5,2598,103.7,2598,103.7," 2,523 ",2794,110.7,2795,110.8,2000,1502,200,0," 22,422 ",,,
85010,CASANARE,Aguazul, 671   ,620,92.4,620,92.4,554,82.6,620,92.4,620,92.4, 676 ,637,94.2,619,91.6,533,23,88,4," 4,938 ",,,
85015,CASANARE,Chameza, 39   ,19,48.7,19,48.7,26,66.7,19,48.7,19,48.7, 43 ,37,86.0,36,83.7,18,1,9,0, 203 ,,,
85125,CASANARE,Hato Corozal, 264   ,249,94.3,249,94.3,200,75.8,250,94.7,249,94.3, 265 ,246,92.8,227,85.7,182,6,23,0," 1,881 ",,,
85136,CASANARE,La Salina, 33   ,28,84.8,28,84.8,14,42.4,28,84.8,28,84.8, 32 ,31,96.9,32,100.0,26,0,4,0, 219 ,,,
85139,CASANARE,Maní, 237   ,199,84.0,199,84.0,213,89.9,199,84.0,199,84.0, 240 ,205,85.4,188,78.3,177,3,19,0," 1,601 ",,,
85162,CASANARE,Monterrey, 296   ,296,100.0,296,100.0,233,78.7,296,100.0,296,100.0, 298 ,325,109.1,325,109.1,245,1,30,0," 2,343 ",,,
85225,CASANARE,Nunchía, 209   ,169,80.9,169,80.9,141,67.5,169,80.9,169,80.9, 210 ,166,79.0,167,79.5,128,2,29,0," 1,309 ",,,
85230,CASANARE,Orocué, 201   ,203,101.0,203,101.0,201,100.0,206,102.5,203,101.0, 202 ,184,91.1,180,89.1,151,1,13,0," 1,545 ",,,
85250,CASANARE,Paz de Ariporo, 626   ,606,96.8,604,96.5,597,95.4,604,96.5,604,96.5, 632 ,654,103.5,659,104.3,407,7,1,0," 4,743 ",,,
85263,CASANARE,Pore, 187   ,161,86.1,161,86.1,178,95.2,161,86.1,161,86.1, 185 ,190,102.7,188,101.6,133,7,1,0," 1,341 ",,,
85279,CASANARE,Recetor, 76   ,21,27.6,21,27.6,17,22.4,21,27.6,21,27.6, 74 ,26,35.1,26,35.1,24,0,0,0, 177 ,,,
85300,CASANARE,Sabanalarga, 72   ,45,62.5,45,62.5,41,56.9,45,62.5,45,62.5, 68 ,47,69.1,48,70.6,37,0,4,0, 357 ,,,
85315,CASANARE,Sacama, 41   ,27,65.9,27,65.9,33,80.5,27,65.9,27,65.9, 43 ,36,83.7,43,100.0,20,0,9,0, 249 ,,,
85325,CASANARE,San Luis de Palenque, 171   ,174,101.8,174,101.8,143,83.6,174,101.8,174,101.8, 171 ,175,102.3,175,102.3,115,3,23,0," 1,330 ",,,
85400,CASANARE,Tamara, 189   ,143,75.7,143,75.7,127,67.2,143,75.7,143,75.7, 184 ,145,78.8,131,71.2,90,1,18,0," 1,084 ",,,
85410,CASANARE,Tauramena, 366   ,285,77.9,285,77.9,238,65.0,285,77.9,285,77.9, 368 ,341,92.7,335,91.0,213,14,8,0," 2,289 ",,,
85430,CASANARE,Trinidad, 303   ,294,97.0,294,97.0,275,90.8,294,97.0,294,97.0, 304 ,260,85.5,262,86.2,233,18,30,0," 2,254 ",,,
85440,CASANARE,Villanueva, 503   ,519,103.2,518,103.0,417,82.9,518,103.0,518,103.0, 500 ,584,116.8,584,116.8,396,6,36,0," 4,096 ",,,
86001,PUTUMAYO,Mocoa, 870   ,948,109.0,948,109.0,1129,129.8,948,109.0,948,109.0, 858 ,901,105.0,917,106.9,530,126,46,10," 7,451 ",,,
86219,PUTUMAYO,Colón, 96   ,85,88.5,85,88.5,73,76.0,85,88.5,85,88.5, 99 ,91,91.9,123,124.2,60,1,8,0, 696 ,,,
86320,PUTUMAYO,Orito," 1,338   ",865,64.6,865,64.6,640,47.8,865,64.6,865,64.6," 1,324 ",898,67.8,820,61.9,397,12,42,1," 6,270 ",,,
86568,PUTUMAYO,Puerto Asís," 1,417   ",1365,96.3,1365,96.3,1286,90.8,1365,96.3,1365,96.3," 1,408 ",1490,105.8,1489,105.8,685,12,44,0," 10,466 ",,,
86569,PUTUMAYO,Puerto Caicedo, 339   ,322,95.0,322,95.0,296,87.3,322,95.0,322,95.0, 338 ,316,93.5,313,92.6,134,4,19,0," 2,370 ",,,
86571,PUTUMAYO,Puerto Guzmán, 654   ,576,88.1,637,97.4,601,91.9,637,97.4,637,97.4, 646 ,622,96.3,701,108.5,248,32,61,1," 4,753 ",,,
86573,PUTUMAYO,Puerto Leguízamo, 387   ,437,112.9,437,112.9,382,98.7,437,112.9,437,112.9, 386 ,458,118.7,486,125.9,190,7,23,0," 3,294 ",,,
86749,PUTUMAYO,Sibundoy, 251   ,226,90.0,226,90.0,208,82.9,226,90.0,226,90.0, 254 ,218,85.8,241,94.9,135,0,21,0," 1,727 ",,,
86755,PUTUMAYO,San Francisco, 147   ,108,73.5,108,73.5,102,69.4,108,73.5,108,73.5, 149 ,100,67.1,100,67.1,60,5,5,3, 807 ,,,
86757,PUTUMAYO,San Miguel, 669   ,454,67.9,454,67.9,329,49.2,454,67.9,454,67.9, 664 ,474,71.4,451,67.9,221,36,16,4," 3,347 ",,,
86760,PUTUMAYO,Santiago, 206   ,150,72.8,150,72.8,138,67.0,150,72.8,150,72.8, 208 ,120,57.7,129,62.0,85,6,32,0," 1,110 ",,,
86865,PUTUMAYO,Valle del Guamuez," 1,136   ",759,66.8,759,66.8,739,65.1,759,66.8,759,66.8," 1,139 ",757,66.5,679,59.6,375,32,225,3," 5,846 ",,,
